abstract_detail,author_detail,author_time_detail,comment,picture_detail,reader,reader_time,title_detail
"

                        在我学电影之初呢，其实就有前辈一直告诫我，电影不是讲故事的，是讲思想的，这个思想可以很简单，可以是个概念，可以是个主题，甚至可以只是一个氛围。而故事，可以是你为了表达思想而着重笔墨，也可以仅仅是一个载体。 我们都认为，视听语言都是为故事服务的，那么故事可不可...

                         (",废话队长,2021-06-12 21:56:25,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2654818960.jpg,,,《你好世界》剧情全解析+世界观解读：远不是表面上的「纯爱」那么简单
")
                    ",半瓶摇,2021-06-13 19:33:53,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,也许能更好，但这样也不坏
")
                    ",Sarah Kang,2021-06-11 11:25:00,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642192924.jpg,,,《烈性》对理想的纯真力量
")
                    ",新世相,2021-06-11 12:31:09,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627893819.jpg,,,成人片《海绵宝宝》骗了你22年
"
                            ",🍋🥥🍎,2021-06-13 16:28:29,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,他从西湖边走来，“隔扇羞窥意中人”“桃花得气美人中”
"
                            ",元铭清,2021-06-12 23:18:26,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654729576.jpg,,,用单一画面视听语言突出的人性转变——从电影制作角度对《热带往事》进行视听语言小评
")
                    ",简单一点,2021-06-08 01:17:41,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2647381880.jpg,,,简评叛逆者：这叙事功力不愧是李晓明编剧——好作品的核心是故事，演职人员的完美配合是保障
"

                        （代发repo，微博id：忽然落雨） 青树绿水，白墙黑瓦，烟雨朦胧的江南水乡，才情百结的西子湖堤。粘湿温吞的是水乡的景，也是水乡的人。 这部电影跟七月与安生气质上有些相似之处，两个亦友亦情敌的姐妹，只不过比之前者，柳浪闻莺多一份戏曲文化式微的大背景（虽然越剧段落林...

                         (",祝阿离,2021-06-11 21:02:37,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2646380991.jpg,,,垃圾电影
"

                        故事线上，我跟一些友邻的看法大体没有出入，只在一些细节上有不同的观察，当然，这也导致了我们截然不同的结论。所以，记事上我会采用相对简略的叙述方式，着重提出我的疑惑，以及解谜的推导过程。 故事线解析 2027年，现实世界中16岁的的坚书和琉璃相恋（做完观影团发现好像...

                         (",orangelee,2021-06-13 16:38:11,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,郑云龙《柳浪闻莺》
"

                        土生土长的杭州人，之前就很喜欢王旭烽老师的原著，王星记扇子，天工艺苑，大戏台子，美院，一公园到六公园弹唱的越剧，原著里的场景都太熟悉了，这次改编成电影，迫不及待地就去看了。 影片质感真好，画面唯美，就跟西湖的美景一样。郑云龙的工欲善，一开口的语气语调就很江南...

                         (",夺铎堕,2021-06-13 18:54:02,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1231141313.jpg,,,[存档] 直到光把我们带走 影视原声
"
                            ",Alex,2021-06-08 16:36:51,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2647381880.jpg,,,央视大剧《叛逆者》重磅来袭，高燃剧情，看点密集！
")
                    ",Sharon戴,2021-06-13 19:30:53,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,,,最温暖的菊次郎
"
                            ",枨不戒,2021-06-11 11:45:53,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2652208493.jpg,,,围观学霸谈恋爱
"
                            ",不聊电影,2021-06-11 23:29:28,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,,,Paradiso-----涓涓细流，绵延不绝
")
                    ",周小人,2021-06-13 09:35:33,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,除了邱泽的演技，这部电影还值得看什么？
")
                    ",senior,2021-06-12 16:30:00,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,看了一圈没人说点其他的，我就自己说点其他的吧…
"

                        [视频] 《致命女人》第2季目前豆瓣9.0分，虽然也是一个不错的分数，但和第1季的9.4分还有一定的差距。 很多人说，第2季没有第1季好看了。 还有人说，第2季没有第1季有深度了。 那我们就来看看，第2季到底有没有深度。 第2季是新卡司，新故事，所以没看过第1季的也可以直接看第2...

                         (",瞎搞的小宇,2021-06-12 08:36:52,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2634050216.jpg,,,三言两语
"

                        开门见山的说，对于评论和微博热搜一概邱泽演技封神的评价，我缓缓打出一个问号，大家明明都看过唐探网剧啊？邱泽在唐探网剧里的演技，难道不比在这电影里的丝滑，不比在电影里舒适、有魅力吗？？ 男主的人设应该是虽然生活在社会底层但仍有人性温暖一面的那种人。他角色的魅力...

                         (",豆友211338259,2021-06-13 03:11:06,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654729576.jpg,,,热带往事
"

                        还记得是2020年2月末，那个发生疫情的寒假，和爸爸在家一起看的导剪版的《天堂电影院》，自己后半段完全就是泪水浸湿眼眶，画面几乎是模糊的了，电影结束后的2个小时内还在抽泣。从那时起这部电影成了我的最爱，内心最柔软的地方。当得知要重映的消息，我在教室也忍不住地欢呼...

                         (",优雅漩涡,2021-06-12 03:34:17,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2655746930.jpg,,,《放学别走》比我预想中更好
"

                        自从5月份央视和《叛逆者》官博接连放出精彩片花和剧照后，这部剧便引起了观众朋友们的广泛关注和热议。预告片制作精良，节奏紧凑，尤其是一众出场演员，每一个动作，每一个眼神，甚至是一个简单的背影，都充斥着满满的氛围感和故事感！央视更是打出了“来自演技派的实力碾压”...

                         (",朝暮雪,2021-06-07 19:12:52,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2651574363.jpg,,,《致命女人》第2季没有深度？那你算是白看了。
"
                            ",MrBlueOwO,2021-06-10 05:37:54,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2646859929.jpg,,,细节&彩蛋（持续更新）
"

                        资产阶级的愚昧与欲望，灵光一现的一女分饰两角，一面热情，一面冷漠，渣女乃成，时而故作楚楚可怜，时而故作坚强独立，甜言蜜语，保持距离。布努埃尔的预言？何以在父权的西班牙预见女权的甚嚣尘上？持续不断的恐怖袭击，偶尔串场的超现实主义。 ——————————分割线—...

                         (",永恒,2021-06-13 10:22:43,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2221539583.jpg,,,胡歌老师众多经典角色我还是对饰演的“明台”情有独钟啊非常经典，不可多得啊！
")
                    ",羁人多梦,2021-06-12 21:26:38,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2658143548.jpg,,,如打在棉花上的观影感受
"
                            ",NicoNIcoNi,2021-06-12 20:24:58,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642488652.jpg,,,好地地唔得噶，系要NTR
")
                    ",博弈围棋段老师,2021-06-11 09:14:17,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2654728011.jpg,,,《爱上特种兵》值得细品
"
                            ",逍遥爱,2021-06-12 14:41:06,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2656166566.jpg,,,补足了所有我对梅超风支线剧情的想象
")
                    ",量子纠缠,2021-06-11 14:12:43,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653646928.jpg,,,【01】真的是素人节目吧？感觉我很适合加入，还来得及吗？（看完第一集）
"

                        E1 1) 墨菲？ 当特工M问小孩谁干的这事，小孩缓缓指向窗子上的红色恶魔时…… “墨菲斯托！” 咳咳，幻红PTSD了，并不是墨菲， 主创在采访中已明确排除墨菲，但也调侃了期待墨菲加入MCU。 这里的“红色恶魔”，其实指的就是洛基。 他们的共同点，是“头上的犄角” 。只不过所指...

                         (",绯红少年,2021-06-12 22:57:37,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1561050122.jpg,,,琐记
"

                        被内网无死角封杀的那位中年大妈（60可以称呼为大妈了吧），最近在蓝鸟上骂美国女人，主要是嫌弃美国女人的所谓女人味儿，直言德国女人都是庞然大物，着装随意。 看这个综艺节目，给我最大的感受确实是，她们穿的就跟我们平时出门逛街穿的差不多，很接地气，接受采访的时候基本...

                         (",guug,2021-06-12 02:11:25,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,当男人恋爱时vs你的婚礼 打一成语
"

                        30年前开始看金庸小说电视连续剧，也包括射雕，从最初对梅超风的恐惧到可怜到细节碎片的串联，多年来联想到很多梅超风这个角色对剧情的伏笔和影响，可以说金庸笔下没有一个多余存在的人物，甚至是基于梅超风的感情纠葛隔着一代对西狂杨过的影响。这部电影补足了所有我对梅超风...

                         (",账号已注销,2021-06-12 19:17:31,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2630463690.jpg,,,没有网上说的那么差，但也没有那么好。
")
                    ",草莓团子,2021-06-13 14:59:42,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2653946775.jpg,,,故事俗套，视觉效果和配乐不错。
"
                            ",项平,2021-06-13 15:03:43,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910917031.jpg,,,“宋薇怎么没有来？” | 马克思原著课影评作业
")
                    ",手无缚鸡之力,2021-06-13 01:46:51,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2152927221.jpg,,,勿忘女耻啊｜披着女巫外衣的美剧，依然在烧死女人
"

                        看完这个剧，大跌眼镜。现代人反思女巫事件，已经堕落到这种地步了。 剧里我最无语的3件事: 1.女巫追男宝，母女雌竞夺王位 Fiona为什么对女儿迪莉娅如此忌惮？因为当一个女人成为母亲的那刻，孩子就夺走了母亲的所有力量。 妈害怕女儿当上了超级女巫吸收自己的力量，所以从小压...

                         (",Z-TANG,2021-06-13 17:57:30,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1103205323.jpg,,,唯有友情，有着无比宽泛的包容
"

                        感谢#江湖观影团#组织的这次观影活动，我很喜欢《困在时间里的父亲》这部电影。这部电影可以说是少有的表现阿尔兹海默症的作品。这部电影刻画的非常细腻逼真。比如说手表就是本片的重要的一个道具。霍普金斯饰演的老人多次遗忘手表放置的位置。为此还和保姆大吵过一架。再比如...

                         (",无为,2021-06-12 21:48:24,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654915204.jpg,,,一部关注AD老人病症的上乘之作
")
                    ",芜菁甘蓝,2021-06-12 14:55:38,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2656166566.jpg,,,还不错的轻武侠爱情电影
")
                    ",IanAndKyle,2021-06-12 23:50:38,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2650235053.jpg,,,【剧透】得到了就不再珍惜吗？
"

                        在去年上映的动画电影《姜子牙》里，阐教教主元始天尊高高在上，掌控时局，借大义以为己而谋，遭姜子牙“撕下假面目”后亦不悔改；于全剧末，便只得由更加至高无上的鸿钧老祖来施以惩罚。观众或许一眼看出，在《天云山传奇》的片尾，也是由更“正确”，代表着新时代党的前进方...

                         (",LJY,2021-06-10 23:06:38,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2655492682.jpg,,,主角会切子弹
"

                        个人还是觉得，一部电影最重要的就是故事本身，逻辑是否通畅、是否有创新、是否有深意或者解读的空间。这部电影身边推荐的人蛮多的，但抛开电影的视觉、配乐、演员之类来看，就是一个很俗套的故事，我个人感觉像家庭狗血版穿普拉达的女王。 另外电影在情节上的模仿痕迹蛮重的，...

                         (",十二月圆,2021-06-13 01:35:51,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654915204.jpg,,,对于时间线索的一点梳理
"

                        影片动人的不是爱情，是两个交错的人生，彼此放任又相知相守，没有伟大的人物，也没有惊天动地的爱情，只有两个自私的男女，源自生活，是你也是我，在不经意间点亮了彼此，他的才情变成了矫情，他的温柔变成了幼稚，他的上进变成强势，他的浪漫成了敷衍，他的潇洒成了风流，他...

                         (",电锯觉罗炫,2021-06-06 09:29:02,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2641811991.jpg,,,招魂3 的背景补充和彩蛋
"

                        花絮比正剧还甜还真实，仅此一家，追到赚到！花絮就是bkpp日常，何其有幸给我们窥探到万分之一，甜到炸裂！！💙❤️以爱会结束，但是bkpp的爱永不停歇。估计也是因为对应大学五年追平了现实，所以暂时要告一段落，期待bk和pp80岁坐在老人院唠嗑给我们看。我能想到最浪漫...

                         (",KKRISSTY,2021-06-11 08:12:15,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654020195.jpg,,,第二季的德和欧真的被魔改了，只能从花絮窥探他们生活的冰山一角。
")
                    ",Frodo,2021-06-12 18:26:10,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567973073.jpg,,,直面世界的乔乔兔
"
                            ",爱吃怕胖的白羊,2021-06-11 21:02:52,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656094561.jpg,,,青春就是要折腾
")
                    ",AlanX,2021-06-07 19:39:26,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191396620.jpg,,,从这一刻起，Matt是我们每个人的朋友
")
                    ",糊涂的喵喵,2021-06-12 18:42:39,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2656166566.jpg,,,青青子衿的恋慕——简评网大电影射雕之九阴白骨爪
abstract_detail,author_detail,author_time_detail,comment,picture_detail,reader,reader_time,title_detail
"
                            ",元铭清,2021-06-12 23:18:26,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654729576.jpg,,,用单一画面视听语言突出的人性转变——从电影制作角度对《热带往事》进行视听语言小评
"

                        在我学电影之初呢，其实就有前辈一直告诫我，电影不是讲故事的，是讲思想的，这个思想可以很简单，可以是个概念，可以是个主题，甚至可以只是一个氛围。而故事，可以是你为了表达思想而着重笔墨，也可以仅仅是一个载体。 我们都认为，视听语言都是为故事服务的，那么故事可不可...

                         (",废话队长,2021-06-12 21:56:25,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2654818960.jpg,,,《你好世界》剧情全解析+世界观解读：远不是表面上的「纯爱」那么简单
")
                    ",rainman,2021-06-13 18:13:00,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2135946487.jpg,,,beautiful Tuesday
")
                    ",半瓶摇,2021-06-13 19:33:53,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,也许能更好，但这样也不坏
")
                    ",环游宇宙的喵,2021-06-12 00:27:15,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2647381880.jpg,,,能看，但只能看一点点
")
                    ",有生之年,2021-06-12 23:18:41,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2643326804.jpg,,,完全主观地被冒犯到，映后胡说八道
"
                            ",🍋🥥🍎,2021-06-13 16:28:29,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,他从西湖边走来，“隔扇羞窥意中人”“桃花得气美人中”
"

                        （代发repo，微博id：忽然落雨） 青树绿水，白墙黑瓦，烟雨朦胧的江南水乡，才情百结的西子湖堤。粘湿温吞的是水乡的景，也是水乡的人。 这部电影跟七月与安生气质上有些相似之处，两个亦友亦情敌的姐妹，只不过比之前者，柳浪闻莺多一份戏曲文化式微的大背景（虽然越剧段落林...

                         (",九亿少女,2021-06-13 22:01:26,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2658143548.jpg,,,难看 难看 好难看
"

                        土生土长的杭州人，之前就很喜欢王旭烽老师的原著，王星记扇子，天工艺苑，大戏台子，美院，一公园到六公园弹唱的越剧，原著里的场景都太熟悉了，这次改编成电影，迫不及待地就去看了。 影片质感真好，画面唯美，就跟西湖的美景一样。郑云龙的工欲善，一开口的语气语调就很江南...

                         (",新世相,2021-06-11 12:31:09,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627893819.jpg,,,成人片《海绵宝宝》骗了你22年
"

                        故事线上，我跟一些友邻的看法大体没有出入，只在一些细节上有不同的观察，当然，这也导致了我们截然不同的结论。所以，记事上我会采用相对简略的叙述方式，着重提出我的疑惑，以及解谜的推导过程。 故事线解析 2027年，现实世界中16岁的的坚书和琉璃相恋（做完观影团发现好像...

                         (",江湖骗子,2021-06-13 16:05:50,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654538295.jpg,,,一语“惊艳”送给你，西湖边的工老师
"
                            ",周小人,2021-06-13 09:35:33,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,除了邱泽的演技，这部电影还值得看什么？
")
                    ",学习，学个🔨,2021-06-14 03:34:04,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604309876.jpg,,,关于七色战记
")
                    ",Mishkin,2021-06-09 22:56:15,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2646859929.jpg,,,Glorious Purpose  V.S.  Free Will
"

                        “第一次见到你，我就喜欢你了。”流氓爱上淑女、患大型动脉瘤……听起来，这像是情节俗套的公式化煽情片，网友夸赞较多的也是邱泽的演技，那么，这部电影还值得看什么？ 01看叙事 相较于韩版《当男人恋爱时》，本片更侧重形式主义叙事，导演在情节设计方面，更偏向华丽、招摇...

                         (",💭,2021-06-13 23:39:49,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575362797.jpg,,,没有肖战演的言冰云就满分，言冰云太丑了，面瘫脸看的人想吐，第二季一定要换人啊！！肖战太劝退了！！
")
                    ",Alex,2021-06-08 16:36:51,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2647381880.jpg,,,央视大剧《叛逆者》重磅来袭，高燃剧情，看点密集！
"
                            ",senior,2021-06-12 16:30:00,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,看了一圈没人说点其他的，我就自己说点其他的吧…
"
                            ",乌云玛奇朵,2021-06-13 21:09:45,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656407373.jpg,,,电影不是爱情，我们才是。（涉及大量剧透）
"

                        [视频] 《致命女人》第2季目前豆瓣9.0分，虽然也是一个不错的分数，但和第1季的9.4分还有一定的差距。 很多人说，第2季没有第1季好看了。 还有人说，第2季没有第1季有深度了。 那我们就来看看，第2季到底有没有深度。 第2季是新卡司，新故事，所以没看过第1季的也可以直接看第2...

                         (",安哥拉,2021-06-13 18:32:53,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p489336497.jpg,,,观后感就写这啦
"

                        肖战言冰云唯一败笔，为啥找个这么丑的演员还演技这么烂！选角导演怎么想的！其他人完美！好剧！非常上头！小范大人演的很好！颜值吊打言冰云！两人在一起的镜头对比太惨烈！第二季一定要换人啊！！听听广大剧迷的声音啊！女演员也非常好！希望原班人马第二季！当然除了言冰云...

                         (",朝暮雪,2021-06-07 19:12:52,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2651574363.jpg,,,《致命女人》第2季没有深度？那你算是白看了。
"

                        我看觉得还可以呀。 以梅超风的角度讲述射雕英雄传，严屹宽发挥稳定，梅超风和陈玄风的演员演的不说多好吧，至少不出戏，演梅超风的小演员我觉得很耐看。 插叙的剪辑也很新颖。画面没有磨皮磨的五官都看不清，黄药师的眼袋皱纹，梅超风的小雀斑都清清楚楚。没有奇奇怪怪的滤镜...

                         (",芜菁甘蓝,2021-06-12 14:55:38,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2656166566.jpg,,,还不错的轻武侠爱情电影
"

                        看不懂，为什么顶尖运动员退役后回老家卖鞋（即使那段快速讲完，我还是不理解，我寻思林丹也退役了，生活的很好啊,住好房子还能出轨小娇妻）。 看不懂，那群退役运动员回老家开黑车跳健身操，完全为了煽情而瞎设定，一群工具人。去考教师资格证当老师，去考公务员不好吗？咋了...

                         (",糊涂的喵喵,2021-06-12 18:42:39,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2656166566.jpg,,,青青子衿的恋慕——简评网大电影射雕之九阴白骨爪
")
                    ",辰星耀灵,2021-06-12 12:39:26,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2655746930.jpg,,,放学别走
")
                    ",枨不戒,2021-06-11 11:45:53,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2652208493.jpg,,,围观学霸谈恋爱
")
                    ",普氏羚羊,2021-06-13 18:19:40,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2658143548.jpg,,,看不懂的魔幻鸡血运动电影
")
                    ",优雅漩涡,2021-06-12 03:34:17,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2655746930.jpg,,,《放学别走》比我预想中更好
")
                    ",不治而娱,2021-06-13 16:07:23,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2655746930.jpg,,,角度新颖，又好笑又心酸，终于有一部关于“学渣”的青春校园剧了！
"

                        九阴大电影，第一次将梅若华作为了第一主角来刻画。射雕各版电视剧里常见到少妇梅超风，80后们记忆里最深刻的版本是有重重黑眼圈的形象，于是人们便自然忽视了梅超风也有过少女情怀。 少有版本能精心描述若华姑娘的心动，仰慕，痛楚，故而这次的网络大电影角度新奇，补足了射雕...

                         (",Sharon戴,2021-06-13 19:30:53,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,,,最温暖的菊次郎
"

                        1999年，北野武 主演的电影菊次郎的夏天 上映，片子讲述的是一个三年级学生正南打算趁着假期去另一个城市看望母亲，邻居阿姨知道后，想帮助正南完成这个心愿，于是就安排自己的废柴老公一路陪同。一大一小，两个人，一路上跌跌撞撞，磕磕碰碰，惹了不少麻烦后，总算把正南平安...

                         (",昂昂万里,2021-06-12 10:19:13,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2646085023.jpg,,,Lupin 部分地标及典故
"

                        该剧播出后，反响不错。不仅角度新颖，从以女主为代表的学渣作为主体，还用好笑有趣的方式向观众打开学渣世界的大门，并被他们的故事戳中笑点和泪点。 与以往的青春校园剧相比，用反向思维的方式解锁青春的另类含义，或许有望成为校园剧的小爆款。 好笑有趣 一般的校园剧要么以...

                         (",羁人多梦,2021-06-12 21:26:38,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2658143548.jpg,,,如打在棉花上的观影感受
"
                            ",木兮,2021-06-11 11:29:44,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2640506011.jpg,,,他们在利用我们什么？
")
                    ",绯红少年,2021-06-12 22:57:37,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1561050122.jpg,,,琐记
"

                        E1 1) 墨菲？ 当特工M问小孩谁干的这事，小孩缓缓指向窗子上的红色恶魔时…… “墨菲斯托！” 咳咳，幻红PTSD了，并不是墨菲， 主创在采访中已明确排除墨菲，但也调侃了期待墨菲加入MCU。 这里的“红色恶魔”，其实指的就是洛基。 他们的共同点，是“头上的犄角” 。只不过所指...

                         (",永恒,2021-06-13 10:22:43,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2221539583.jpg,,,胡歌老师众多经典角色我还是对饰演的“明台”情有独钟啊非常经典，不可多得啊！
"
                            ",NicoNIcoNi,2021-06-12 20:24:58,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642488652.jpg,,,好地地唔得噶，系要NTR
")
                    ",博弈围棋段老师,2021-06-11 09:14:17,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2654728011.jpg,,,《爱上特种兵》值得细品
"
                            ",量子纠缠,2021-06-11 14:12:43,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653646928.jpg,,,【01】真的是素人节目吧？感觉我很适合加入，还来得及吗？（看完第一集）
"

                        2018年一种新的电影形式桌面视窗伪纪录片诞生。 这种类型的两部恐怖电影《网络谜踪》和《解除好友2》都取得不错的成绩，也因为这种形式的紧张感和频频跳出的页面对话框、网页浏览、视频通话等等，给电影增加了更多的恐怖氛围。 但与《网络谜踪》隶属同一个制作公司，却因为制作...

                         (",MrBlueOwO,2021-06-10 05:37:54,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2646859929.jpg,,,细节&彩蛋（持续更新）
"

                        资产阶级的愚昧与欲望，灵光一现的一女分饰两角，一面热情，一面冷漠，渣女乃成，时而故作楚楚可怜，时而故作坚强独立，甜言蜜语，保持距离。布努埃尔的预言？何以在父权的西班牙预见女权的甚嚣尘上？持续不断的恐怖袭击，偶尔串场的超现实主义。 ——————————分割线—...

                         (",账号已注销,2021-06-12 19:17:31,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2630463690.jpg,,,没有网上说的那么差，但也没有那么好。
")
                    ",华子,2021-06-13 13:00:06,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2641608918.jpg,,,扫黑 烂片
"
                            ",德善,2021-06-13 00:13:43,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2654818960.jpg,,,最容易理解的反转解析
"
                            ",LJY,2021-06-10 23:06:38,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2655492682.jpg,,,主角会切子弹
"

                        爽片，两场打戏牛逼，除了死侍，现在马克也会切子弹了，而且姿势很帅。导演和演员多次合作且都有实力，所以开始期待较高，有一些挺吸引人的概念，譬如记忆技能传承，譬如高科技武器，譬如趴飞机时释放潜能，譬如刀比枪好使，但仅仅是惊鸿一瞥，没有深入，就是你裤子都脱了，结...

                         (",依卓拉姆,2021-06-10 12:07:29,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2646859929.jpg,,,（有更新）根据第一集和过往相关剧情理顺mcu时间观
"
                            ",Xevina,2021-06-13 16:19:39,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2301979501.jpg,,,亲吻大自然
")
                    ",御史台,2021-06-11 16:46:09,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2631739431.jpg,,,近五年最好的原创番！
"
                            ",zhuma,2021-06-14 04:07:17,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2656094561.jpg,,,接地气的青春生活剧
")
                    ",电锯觉罗炫,2021-06-06 09:29:02,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2641811991.jpg,,,招魂3 的背景补充和彩蛋
"

                        手机打字，全凭记忆，没有回去核对，如有记错部分求指正。 昨天第一集播出，看了下评论区，争议主要集中在两点：一是为什么复联的穿越被tva认定是既定的事实而不予干预，二是宝石在tva被当做镇纸是对过去角色的亵渎。 结论先行：mcu主时间线就是被美队的穿越干预后的时间线。 ...

                         (",十二月圆,2021-06-13 01:35:51,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654915204.jpg,,,对于时间线索的一点梳理
"

                        一：恶魔逼我做案件的原型和背景 80年代初的美国开始逐步走出70年代的阴霾，美国经济开始稳定发展并为90年代的大爆发做着准备，而此背景下以新教基督徒为首的保守宗教人士则开始担心电子游戏、音乐和电影会逐步吞噬儿童的身心健康甚至灵魂，进而撒旦会通过这种方法重返人间，加...

                         (",贤狼赫萝,2021-06-11 08:46:51,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2641221021.jpg,,,古今之争视角下的巨人隐喻
")
                    ",是海妖呀,2021-06-12 09:02:38,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2621425792.jpg,,,听啊，那机器的咆哮，那个体的低鸣。
"

                        青春须早为让我喜欢上了钟楚曦，剧里也确实钟的演技更成熟点，胡一天的演技自然小表情超多超细腻但还是能看出有点青涩，毕竟是3年前的剧了。 还有编剧导演真的不错，夹杂了不少无形钟的幽默，也没有人工糖精，剧情很流畅，节奏很舒服。 而且每个人物都有亮点，比如Lucas，黄总...

                         (",生番,2021-06-10 17:42:37,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,,,我好菜（还需要再搞明白的问题
